Method,Threads,Repeats,Time (s)
Pthread Barrier,2,100000,0.23654100000000003
Pthread Barrier,4,100000,0.43062999999999996
Pthread Barrier,8,100000,0.9356329999999999
Pthread Barrier,2,1000000,2.1335715
Pthread Barrier,4,1000000,4.184821
Pthread Barrier,8,1000000,9.30550825
Cond Var Barrier,2,100000,0.36718799999999996
Cond Var Barrier,4,100000,0.71901775
Cond Var Barrier,8,100000,1.7468895
Cond Var Barrier,2,1000000,3.62057625
Cond Var Barrier,4,1000000,7.1779185000000005
Cond Var Barrier,8,1000000,17.3859865
Sense Reversal,2,100000,0.0264915
Sense Reversal,4,100000,0.28293375000000004
Sense Reversal,8,100000,0.0
Sense Reversal,2,1000000,0.2441505
Sense Reversal,4,1000000,2.74386125
Sense Reversal,8,1000000,0.0
