Degree (N),Threads,Avg Init Time,Avg Serial Time,Avg Parallel Time,Speedup
5000,1,0.000307,0.0198865,0.14476050000000001,0.1373751817657441
5000,2,0.000163,0.0147965,0.10977600000000001,0.13478811397755427
5000,4,0.00016325,0.01468775,0.051031,0.2878201485371637
5000,8,0.00017500000000000003,0.01485275,0.0523575,0.2836795110538127
10000,1,0.00034100000000000005,0.0573435,0.57739275,0.09931454802645166
10000,2,0.000334,0.05728725,0.43202675,0.13260116416402457
10000,4,0.000334,0.057187249999999995,0.18993074999999998,0.3010952676172763
10000,8,0.00033425,0.05780825,0.19046200000000002,0.3035159244363705
20000,1,0.00073525,0.2283275,2.2974415,0.09938337929387972
20000,2,0.000692,0.22795500000000002,1.224493,0.18616276287410383
20000,4,0.0006885,0.228286,0.6906995,0.33051421059375313
20000,8,0.000675,0.228061,0.704224,0.32384724178670427
