Size,Sparsity,Threads,Loops,Avg_Create_Time,Avg_CSR_Time,Avg_Dense_Time,Speedup
1000,0.6,1,1000,0.008211,0.418219,0.161369,0.3858
1000,0.6,2,1000,0.003948,0.209409,0.104889,0.5009
1000,0.6,4,1000,0.002202,0.111352,0.107538,0.9657
1000,0.6,8,1000,0.001512,0.066333,0.151152,2.2787
1000,0.6,16,1000,0.001146,0.046564,0.124521,2.6742
1000,0.9,1,1000,0.003037,0.104027,0.099984,0.9611
1000,0.9,2,1000,0.001593,0.056201,0.117660,2.0936
1000,0.9,4,1000,0.000961,0.031972,0.166591,5.2105
1000,0.9,8,1000,0.000769,0.023334,0.139467,5.9771
1000,0.9,16,1000,0.000931,0.014607,0.178104,12.1933
5000,0.6,1,1000,0.219002,11.535259,2.337359,0.2026
5000,0.6,2,1000,0.106868,5.858106,2.379019,0.4061
5000,0.6,4,1000,0.054880,3.078440,2.960745,0.9618
5000,0.6,8,1000,0.031328,1.906873,2.412149,1.2650
5000,0.6,16,1000,0.021435,1.214280,2.372981,1.9542
5000,0.9,1,1000,0.081491,2.779824,2.398925,0.8630
5000,0.9,2,1000,0.041484,1.420227,2.425794,1.7080
5000,0.9,4,1000,0.022311,0.705778,2.442845,3.4612
5000,0.9,8,1000,0.013093,0.436044,2.385459,5.4707
5000,0.9,16,1000,0.010326,0.300489,2.678312,8.9132
